longitude,latitude,age,rooms,bedrooms,value
-117.71,34.15,17,7.66219723183391,1.0250865051903115,3491000
-117.71,34.12,20,6.051640667025282,1.0182894029047875,2395000
-117.71,34.1,52,4.5,1.2063492063492063,2125000
-117.71,34.1,41,4.512195121951219,1.056910569105691,1250000
-117.71,34.09,36,5.459627329192546,0.9855072463768116,1587000
-117.71,34.08,29,4.037974683544304,0.8955696202531646,1343000
-117.71,34.08,26,5.901075268817205,1.0623655913978494,1542000
-117.71,34.07,31,5.15406162464986,1.0644257703081232,1292000
-117.71,34.07,24,5.351648351648351,0.9945054945054945,1393000
-117.71,34.06,16,4.404833836858006,0.8912386706948641,1604000
-117.71,34.04,20,6.25,0.9935897435897436,2221000
-117.71,34.04,17,5.747545582047686,1.0280504908835906,2318000
-117.71,34.03,11,5.128698224852071,1.1079881656804733,1644000
-117.71,33.97,10,4.936789449749886,1.035925420645748,1372000
-117.71,33.64,14,8.791044776119403,1.0626865671641792,3089000
-117.71,33.63,16,5.475877192982456,1.0964912280701755,2418000
-117.71,33.62,22,6.445012787723785,0.989769820971867,2428000
-117.71,33.61,26,4.5942684766214175,1.0950226244343892,741000
-117.71,33.61,26,4.54183266932271,1.095617529880478,723000
-117.72,34.1,53,5.58869395711501,0.9668615984405458,2912000
-117.72,34.1,32,4.001234567901235,1.1049382716049383,1818000
-117.72,34.09,36,4.926421404682274,1.0969899665551839,1518000
-117.72,34.08,34,5.528225806451613,0.9899193548387096,1288000
-117.72,34.07,33,5.616438356164384,1.0136986301369864,1342000
-117.72,34.06,32,3.882249560632689,1.149384885764499,1132000
-117.72,34.05,8,4.6725888324873095,1.0380710659898478,1070000
-117.72,34.05,31,4.703389830508475,1.1144067796610169,1043000
-117.72,34.03,17,6.058455114822547,0.9937369519832986,1618000
-117.72,34.02,17,6.95703125,1.0234375,2368000
-117.72,34.0,15,6.551051051051051,1.0360360360360361,1797000
-117.72,33.99,14,6.847746650426309,1.048721071863581,2067000
-117.72,33.97,16,6.569451309935739,1.0192782995551162,1878000
-117.72,33.64,16,5.0,0.983739837398374,675000
